,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
0,1950,1,3,03/01/1950,IL,3,3,0,39.1,-89.3,39.12,-89.23,5.79,118.87,"Settles Trail,Chapman,Montgomery County,Illinois,62032","Fayette County Rd 1, ,Fayette County,Illinois,62011"
1,1950,1,3,03/01/1950,MO,3,3,0,38.77,-90.22,38.83,-90.03,15.29,137.16,"Dunn Road, ,Saint Louis County,Missouri,63138","Old Alton Edwardsville Road, ,Madison County,Illinois,62087"
6,1950,1,26,26/01/1950,TX,2,2,0,26.88,-98.12,26.88,-98.05,7.56,121.62,"County Road 307, ,Brooks County,Texas, "," , ,Brooks County,Texas, "
7,1950,2,11,11/02/1950,TX,2,0,0,29.42,-95.25,29.52,-95.13,15.93,365.76,"West Adoue Street, ,Brazoria County,Texas,77511","Gulf Freeway Frontage Road, ,Harris County,Texas,77598"
8,1950,2,11,11/02/1950,TX,2,5,0,32.35,-95.2,32.42,-95.2,7.4,91.44," , ,Smith County,Texas, "," , ,Smith County,Texas,75708"
9,1950,2,11,11/02/1950,TX,2,6,0,32.98,-94.63,33,-94.7,7.24,61.26,"FM 161, ,Cass County,Texas,75656","Memory Ranch Road, ,Morris County,Texas,75638"
10,1950,2,11,11/02/1950,TX,3,12,1,29.67,-95.05,29.83,-95,19.31,914.4,"North D Street, ,Harris County,Texas,77571","Haney Road, ,Harris County,Texas,77562"
12,1950,2,12,12/02/1950,AR,2,0,0,33.27,-92.95,33.35,-92.95,9.17,91.44,"Stephens Highway,Mount Holly,Union County,Arkansas, "," , ,Union County,Arkansas, "
14,1950,2,12,12/02/1950,LA,2,10,5,32.2,-93.58,32.97,-93.17,93.99,91.44," , ,De Soto Parish,Louisiana, "," , ,Claiborne Parish,Louisiana, "
15,1950,2,12,12/02/1950,LA,3,25,5,31.63,-93.65,32.55,-93.03,119.9,91.44,"Laroux Street, ,Sabine Parish,Louisiana,71486","Jenkins Road, ,Bienville Parish,Louisiana, "
16,1950,2,12,12/02/1950,LA,4,77,18,31.97,-94,33,-93.3,132.93,91.44,"Sycamore Street, ,De Soto Parish,Louisiana,71049","Baker Road, ,Webster Parish,Louisiana,71072"
20,1950,2,12,12/02/1950,TX,1,32,0,31.8,-94.2,31.88,-94.12,12.39,91.44,"Roughrider Drive, ,Shelby County,Texas,75935"," , ,Shelby County,Texas, "
21,1950,2,12,12/02/1950,TX,2,0,0,31.52,-96.55,31.57,-96.55,5.47,91.44,"FM 2489, ,Limestone County,Texas,76642"," ,Fort Parker,Limestone County,Texas, "
22,1950,2,12,12/02/1950,TX,2,8,1,33.33,-94.42,33.45,-94.42,12.87,761.7," , ,Bowie County,Texas, ","Tapp Street, ,Bowie County,Texas,75570"
29,1950,3,19,19/03/1950,LA,0,0,0,29.7,-90.1,29.67,-89.8,29.13,24.69,"Jean Lafitte Boulevard, ,Jefferson Parish,Louisiana,70067"," , ,Plaquemines Parish,Louisiana, "
32,1950,3,26,26/03/1950,AR,2,3,0,34.12,-93.07,34.32,-92.88,28,137.16,"South Peake Street, ,Clark County,Arkansas,71923","County Road 32, ,Hot Spring County,Arkansas, "
33,1950,3,26,26/03/1950,AR,2,7,0,34.7,-92.35,34.8,-92.22,16.74,548.64,"North Meadowcliff Drive, ,Pulaski County,Arkansas,72209","Oaktree Circle, ,Pulaski County,Arkansas,72116"
34,1950,3,26,26/03/1950,AR,2,2,0,35.1,-91.4,35.15,-91.33,8.69,761.7,"County Road 831,McClelland,Woodruff County,Arkansas, ","1st Street,Gregory,Woodruff County,Arkansas,72059"
35,1950,3,26,26/03/1950,AR,3,1,0,36.15,-91.83,36.2,-91.75,9.17,182.88,"County Road 60,Violet Hill,Izard County,Arkansas,72584","East Tri Lakes Drive, ,Izard County,Arkansas,72512"
36,1950,3,26,26/03/1950,AR,3,20,0,34.98,-91.73,35.08,-91.5,23.98,1609.34,"Harshaw Road, ,Prairie County,Arkansas,72066"," , ,Prairie County,Arkansas, "
38,1950,3,27,27/03/1950,LA,1,2,0,32.63,-91.28,32.73,-91.05,24.62,15.54," , ,East Carroll Parish,Louisiana, "," ,Fitler,Issaquena County,Mississippi, "
41,1950,3,27,27/03/1950,MS,2,0,0,33.13,-89.57,33.25,-89.42,19.15,9.14,"Country Road 3243, ,Attala County,Mississippi, ","Natchez Trace Parkway, ,Attala County,Mississippi,39745"
42,1950,3,27,27/03/1950,MS,2,7,0,32.28,-90.27,32.98,-89.82,95.43,45.72,"Gertrude Drive, ,Hinds County,Mississippi,39204","County Road 4104, ,Attala County,Mississippi, "
43,1950,3,27,27/03/1950,MS,2,6,0,32.28,-90.27,32.48,-89.78,51.34,45.72,"Gertrude Drive, ,Hinds County,Mississippi,39204","Fleming Road, ,Rankin County,Mississippi,39145"
44,1950,3,27,27/03/1950,MS,2,0,0,33.67,-88.78,33.72,-88.73,7.56,9.14,"Dunnigan Road,Abbott,Clay County,Mississippi, ","Bill Dexter Road, ,Clay County,Mississippi,39756"
53,1950,4,18,18/04/1950,AL,3,15,0,30.67,-88.2,30.85,-88.1,22.53,91.44,"Somerby Drive,Winthrop Square,Mobile County,Alabama,36685"," , ,Mobile County,Alabama,36571"
56,1950,4,28,28/04/1950,KS,1,0,0,38.12,-95.85,38.35,-95.63,31.86,9.14," , ,Coffey County,Kansas, ","22nd Road Northeast,Halls Summit,Coffey County,Kansas,66856"
58,1950,4,28,28/04/1950,OK,3,1,1,34.88,-99.28,35.17,-99.2,33.47,365.76,"OK 44, ,Kiowa County,Oklahoma, ","CR N2120, ,Washita County,Oklahoma,73664"
59,1950,4,28,28/04/1950,OK,4,32,5,35.08,-96.4,35.13,-96.35,7.24,182.88,"South Hinckley Street, ,Hughes County,Oklahoma,74848","East West 130 Road, ,Hughes County,Oklahoma, "
61,1950,4,29,29/04/1950,MS,2,0,0,31.27,-89.83,31.38,-89.7,18.19,91.44,"Country Club Drive, ,Marion County,Mississippi,39429","Raybourn Road, ,Marion County,Mississippi,39429"
62,1950,4,29,29/04/1950,TX,1,0,0,31.9,-98.6,31.73,-98.6,18.51,182.88,"East College Avenue, ,Comanche County,Texas,76442"," , ,Comanche County,Texas, "
65,1950,5,1,01/05/1950,LA,1,0,0,31.95,-92.63,32.05,-92.4,24.78,137.16,"Kvcl Road, ,Winn Parish,Louisiana,71483"," , ,Winn Parish,Louisiana, "
67,1950,5,1,01/05/1950,LA,2,7,0,31.55,-92.9,31.57,-92.85,5.79,91.44,"LA 495,Pollockville,Natchitoches Parish,Louisiana,71416"," , ,Natchitoches Parish,Louisiana, "
